energy,total_makespan,max_makespan
8253.499690933431,219425.02787467142,1137.221306715999
8248.017056046237,233309.45778202938,1164.6490581659286
8176.327060437642,134640.40967285275,853.9640985097728
8089.145475620398,105141.30895247846,642.7205246257923
8467.052932651308,212697.67808373336,1176.3420165082523
8346.81542033621,176938.09553751934,996.5227486610784
8333.161208406986,249565.69549746552,1222.617460585577
8171.826426351741,207193.74843068756,1098.1940742672211
8550.752956129832,163637.31407571203,926.1504326722193
8491.688605575178,221113.53092564433,1158.909269380277
8260.186633643332,259798.779809976,1299.595257531412
8440.919123475504,225781.2840404985,1162.3067048845944
8322.062750424706,145685.04997465713,886.803607588444
8258.902858397374,235844.40094604724,1197.9238047644358
8313.152274167516,182701.1504225728,1029.7375744192882
8254.53310499638,243611.16191352918,1255.8878460965057
8265.715808688808,257061.18675463076,1242.2932547179328
8329.316731594125,165537.82143906533,979.8864629798597
8081.6232266952165,231495.1037822896,1183.5265795097055
8579.851253674911,158616.19021629513,939.9880990667523
8255.76401647185,207510.33300991298,1059.9301503970769
8471.511529463934,186233.33523290837,1087.4431395398942
8231.081007317138,279207.7501705477,1338.1382594161844
8391.781010825212,166037.62696981127,839.0210682071679
8083.554261416327,175974.59270363,958.2922901773152
8192.915124602467,143167.79014778818,841.1362165479454
8338.064748033834,186626.84872474242,1034.9917684717655
8035.857587681218,214461.99509114824,1153.1989507747319
8250.385169417037,232481.60242668074,1217.2713122795935
8162.242042281149,189284.77233118287,1011.9931179764012
8183.069808576893,212802.12556628586,1143.430663717445
8413.537067334473,171897.84877885104,934.4847504725535
8231.924703601948,353352.0651996716,1559.1160160198397
8323.554975651701,223798.00099859343,1160.8094831252881
8183.898783501383,191719.60228450026,1052.2471528181102
7968.806165448717,254873.988909278,1249.3146898763532
8194.28985883469,178463.95197605022,1023.002030763907
8281.627945649454,157149.1356297559,917.1861038999068
8503.101305565806,182777.8724443033,1032.2861469984043
8360.573773669967,291147.6971223416,1409.3832387066818
8043.239131304014,249477.9292889642,1223.1650555085344
8449.302050948978,181209.45428190488,1041.9712792995833
8079.2521333375225,270404.5091036729,1343.3940512242766
8168.918095060617,158420.52898102035,908.8037534674545
8263.552689268032,170207.33431663446,953.6356442938177
8299.023838114743,227013.86401685755,1200.1162892112204
8318.120272563066,190167.4645097868,1094.5883810852858
8395.090979388633,168306.48973296775,980.0515097236414
8618.83766263864,174821.23407973573,910.3070662559805
8208.362550881544,160061.6890468541,936.2580776865022
