energy,controlled_energy,total_makespan,max_makespan
10261.479715023394,10261.479715023395,703023.8330414607,1813.3930831115235
10132.313713136416,10132.31371313641,715723.9376930734,1818.0477165009324
9985.940375568534,9985.940375568547,681147.6871710165,1772.2406705232233
9971.26201341767,9971.262013417654,683331.6524726523,1779.0272934297318
9937.34887279353,9937.348872793516,675097.8480405154,1756.0464565018588
10116.879510553299,10116.879510553304,721870.115612133,1830.7854973862259
10300.991905421522,10300.991905421512,745366.4732315284,1881.8030600462403
10080.268418714732,10080.268418714726,710805.6875008233,1834.938167845774
10120.054384461539,10120.054384461544,708603.3110097224,1817.4410765672515
10176.381872570722,10176.381872570732,723756.1293766755,1857.2170423661814
10099.281945694254,10099.281945694256,689111.7932801441,1804.7976516257017
9970.90100625,9970.901006250002,688025.356039736,1789.8237475275578
10009.314784358185,10009.314784358185,698513.1944307927,1808.8321570992343
9977.06223834921,9977.062238349197,692633.2397707122,1791.5515535439567
10142.266622134974,10142.266622134972,727222.1931897989,1828.6572774386418
9866.018286846462,9866.018286846467,673872.0392234029,1774.295900201755
10147.311211537994,10147.311211537995,727625.3354270331,1847.5174423127696
10071.303888248454,10071.303888248462,706559.2571881879,1798.640420177931
10042.521500811323,10042.521500811325,715236.6391266752,1834.6430330551561
10152.697822390726,10152.69782239073,712926.4638213695,1826.9165083002918
10424.832545158604,10424.832545158615,741819.9647009964,1888.5329237281317
9900.406138065102,9900.406138065102,678973.5588841095,1755.7809612458727
10044.164395626678,10044.164395626669,699239.8782771095,1809.3628860598092
10345.417486813287,10345.417486813298,718073.1244811403,1871.1269810070244
9885.210719565706,9885.2107195657,652724.7120324938,1723.8892748841342
10275.374109726861,10275.374109726856,718408.4519197859,1857.9742382867526
10131.961341313514,10131.961341313505,707734.9226054118,1812.050552074114
10430.452254804894,10430.452254804895,741041.6713358297,1894.6678528646785
10029.900953070526,10029.900953070544,708192.6564672621,1801.1135610911551
10196.995179689065,10196.99517968908,727940.718357455,1848.4170341822378
10122.331067208474,10122.331067208492,692600.2794574336,1811.7213026284576
10082.975213844427,10082.975213844431,699328.8593535975,1809.9322047396677
9965.96842640008,9965.968426400083,686321.5420341312,1772.0566165231858
10100.45909476238,10100.459094762375,703905.8645765897,1826.5017500242025
10151.169754965524,10151.169754965505,727468.5006089157,1839.5434720387689
9965.871047042396,9965.871047042401,698883.3539930535,1780.5866137482567
9952.18475491317,9952.184754913176,659941.9338604363,1761.5119240912782
10366.351463636189,10366.35146363618,737012.9492194508,1880.9789967688266
10247.385613335073,10247.385613335056,713516.5765826653,1819.5796504611108
10130.510293391038,10130.510293391035,704612.1048464489,1807.9089192308297
10079.100404615945,10079.10040461594,704345.213770953,1797.2484260155788
10037.078277856925,10037.078277856934,699764.3388849588,1800.8884028642578
10203.806806104198,10203.806806104209,723085.0844666266,1845.3464736060632
9870.465134648744,9870.465134648743,686975.678876987,1774.2128011804525
9963.565434297318,9963.565434297327,685304.8493582192,1767.9672898243348
9830.267669688252,9830.267669688243,680076.1121379441,1767.5497329809937
9926.159843292791,9926.159843292795,696827.0928944128,1774.7984885445994
10142.538207575788,10142.538207575793,710083.856936158,1827.9612778348846
10058.295702726882,10058.295702726875,709788.2867371714,1812.4347164067144
9967.16683221097,9967.166832210967,706435.9249947582,1780.7048499338189
