episode,reward
272,-20299.608246713186
273,-24674.781910204707
274,-21722.274812117597
275,-21084.106364293453
276,-21631.41338924757
277,-22127.604331451537
278,-23044.365502137254
279,-27820.834534839243
280,-23380.80723599521
281,-23632.62722396314
282,-25710.388365315703
283,-27317.59948825025
284,-22588.364779843887
285,-25492.81976036148
286,-24792.241255496552
287,-19169.747076358766
288,-23256.449872560243
289,-19925.861684240987
290,-22067.3759772359
291,-26138.0542407157
292,-20951.95385110001
293,-17186.590017218135
294,-23507.63205938513
295,-20650.41368794503
296,-18251.48162255107
297,-23958.194957025433
298,-14907.562719215683
299,-20217.85695747136
300,-21155.57623122904
301,-17797.695608937265
302,-18852.332087506387
303,-19841.44488908298
304,-16975.77961979708
305,-20763.538429272856
306,-19896.91081786417
307,-17136.554553945367
308,-22273.061283536965
309,-19685.64687642792
310,-17921.562716691187
311,-16003.620342237766
312,-22508.578998846722
313,-12460.780538457879
314,-16439.784458031514
315,-17144.193078759512
316,-21128.82804850017
317,-19310.58689580892
318,-15215.950360765042
319,-19186.332799730786
320,-24526.73939600827
321,-16865.098149427162
322,-15640.695804236417
323,-21490.64657482674
324,-17651.263835469552
325,-26502.645377071578
326,-22311.848251553223
327,-20743.94211965963
328,-23543.228658743363
329,-17145.592129785415
330,-17228.69174882221
331,-23784.656576515627
332,-16455.51426627908
333,-18985.376022243312
334,-26045.860115192998
335,-28572.73928296334
336,-19396.467803266813
337,-24935.99486539277
338,-19892.948401278725
339,-20393.973712855397
340,-18456.726013511423
341,-18531.08426497449
342,-17961.64017458782
343,-24563.402227579612
344,-22442.97548495221
345,-21775.764223879392
346,-22159.72890150231
347,-19717.677997662122
348,-25076.87289899818
349,-28078.262271301905
350,-19269.960122102308
351,-18100.179980609326
352,-19990.8246399203
353,-24583.86526436316
354,-22441.56390227229
355,-18588.91943968612
356,-22691.72755492724
357,-25415.168457381766
358,-23903.863883935617
359,-23594.933760220636
360,-19390.47407250893
361,-12305.088541608164
362,-18185.984336485682
363,-16816.326770066706
364,-18782.494413389806
365,-21601.877372257197
366,-20154.42150089935
367,-19121.870191564754
368,-20886.18612887677
369,-22063.748891542276
370,-31244.99057817915
371,-15300.766159628223
372,-28422.9645789231
373,-15099.265184592916
374,-22836.01210116699
375,-19882.647811560928
376,-22521.578011313562
377,-18574.78571310092
378,-15435.880445342968
379,-20173.641309631475
380,-19305.721437942513
381,-25394.433381030314
382,-20472.31146916566
383,-26386.45810118828
384,-22101.20173955325
385,-20273.21520320808
386,-21614.069133170975
387,-18682.24931608486
388,-20100.882849452057
389,-15920.938640403789
390,-14171.130204667897
391,-27438.471498577856
392,-23949.287996103612
393,-18863.922069808385
394,-18638.04646733635
395,-23928.464832278692
396,-26332.558746853316
397,-22544.02572930497
398,-16589.707465781143
399,-19169.362241472154
400,-17976.538369486636
401,-21328.921181968555
402,-28475.13835686906
403,-20828.29625258224
404,-22688.734790235878
405,-20010.086661097306
406,-17632.539762603392
407,-24353.65852944724
408,-19390.661167012615
409,-23084.27317007144
410,-17583.470380579347
411,-18086.730508700217
412,-14309.403498112206
413,-26988.48099162452
414,-17236.34887392709
415,-17959.219584642055
416,-23308.8762592732
417,-19314.886799934422
418,-21902.93446268385
419,-22013.154699156315
420,-18151.13118218828
421,-23246.452940632007
422,-15376.184065806272
423,-20467.825203298784
424,-18954.30133766469
425,-12456.480898450409
426,-16902.709138330574
427,-17916.214018606915
428,-14360.377948407071
429,-17846.68098779166
430,-22366.400329238913
431,-23978.541846462285
432,-20165.325961583425
433,-14429.70214567411
434,-18753.81796769064
435,-20537.85679645015
436,-18643.697942233615
437,-24308.74320024432
438,-15504.354612714595
439,-20399.845454801656
440,-15864.35122232405
441,-14892.24883807527
442,-21561.754242290393
443,-21098.00663064217
444,-16719.808642586806
445,-20621.50043725729
446,-17876.504172155983
447,-21260.23253459046
448,-17511.514409562096
449,-20581.10011297097
450,-19675.074600698452
451,-21339.76530978801
452,-25567.06120859494
453,-17077.513451506806
454,-17332.436153835133
455,-18827.702370336763
456,-21780.88288899459
457,-18474.11195861121
458,-19060.378120985453
459,-17693.437211738725
460,-17404.626739327407
461,-17338.160779228052
462,-17739.545533360673
463,-24416.194738813494
464,-13397.23763407225
465,-20948.957540533338
466,-21963.95172527831
467,-23245.11973887176
468,-19694.79359774944
469,-22747.30704465802
470,-18868.350603034025
471,-19182.81158700958
472,-20239.342618723447
473,-18390.791117945086
474,-16479.642473053198
475,-22495.069340304603
476,-17833.38738220416
477,-20546.20166927415
478,-24321.953627968025
479,-13334.784392405605
480,-22208.82236709536
481,-13113.654303553392
482,-23457.74200183723
483,-30783.087807328837
484,-18936.906998291182
485,-22926.301190108934
486,-20067.89183526351
487,-16729.132753785834
488,-18144.19753679004
489,-19667.979906411016
490,-19748.475728821675
491,-19980.617993505843
492,-17029.700662852218
493,-24891.695543713173
494,-22556.122287937735
495,-17226.815160071113
496,-20622.755447293013
497,-25625.29978391459
498,-23001.934172012836
499,-13665.376965926065
500,-23604.37063070596
