energy,controlled_energy,total_makespan,max_makespan
33218.48598147786,33218.48598147784,12030.196744835124,39.5824858488553
32458.460986995608,32458.460986995622,12291.270912832819,40.31964195631372
32330.24784251387,32330.247842513865,11736.560492261826,66.16928883305062
31044.99404250251,31044.99404250251,12187.317340666665,39.58050478357214
28737.896935957393,28737.89693595738,11825.477507240408,39.022439817771044
33324.43862204661,33324.43862204661,11341.484572712177,42.18364691160407
32997.49381765051,32997.49381765049,12362.145626659367,40.36554884891335
31275.57090713184,31275.570907131863,12233.165192116006,40.70148963906966
30423.97013283636,30423.970132836406,13756.733134383441,40.42616456322128
31371.981934845175,31371.981934845135,11843.799105330998,41.37770815479146
34401.676807791635,34401.676807791664,11164.940603355155,41.82871711975227
31061.732251971025,31061.73225197101,11740.234377861021,39.92695786012433
32429.461449157363,32429.46144915736,12205.647600547789,39.319516576600876
30978.55078321431,30978.550783214352,12213.820422340987,41.05258971365885
33408.80472566414,33408.80472566413,11564.91432365322,38.49226955192836
31276.075683022096,31276.075683022103,11845.34264067645,41.9486345809234
33380.6617006925,33380.661700692486,11524.71825427129,40.258543882982394
32664.706338501044,32664.706338501055,11868.133676163663,41.183539573849345
32245.488863227496,32245.488863227445,11777.918733446024,38.90176638395636
32799.10710112986,32799.10710112987,11664.346893167618,39.57522401238819
35226.48534116895,35226.48534116896,11874.289144680835,39.71933476592856
30790.95898118999,30790.958981189997,11651.964097002985,40.77474185992135
32521.490790831307,32521.490790831296,12361.199582006439,39.04581568936413
35412.51407635675,35412.5140763567,11743.50334527822,39.921042646591445
29517.827787227496,29517.82778722751,12299.063085954385,40.41531335522379
33700.34601970824,33700.34601970822,11835.528276597757,39.05214266738437
30553.340451978074,30553.34045197805,12128.445796195398,39.75001223025771
32232.59525367403,32232.595253674015,12154.826874326198,41.577039307912315
33283.320685433006,33283.320685433006,11285.103343794914,38.9886784759627
32457.846797382386,32457.846797382357,12396.262836757585,38.891658812208334
33905.691779526285,33905.69177952626,11911.911639037884,38.740246760697445
32664.075628999144,32664.075628999133,12572.431409399844,39.37938388457974
31022.13871057186,31022.138710571853,12541.576443119635,40.54874572041993
31267.264441114927,31267.26444111496,11912.12621135464,39.74230447427175
31089.82437047247,31089.824370472463,12101.219247136092,39.583765387492804
31287.938126495304,31287.938126495304,12409.523097064837,40.89416861621686
30852.717369061626,30852.717369061607,12580.355938158009,43.54905175368782
33140.04499899257,33140.04499899256,11835.407512638438,41.32633812551484
34407.036051499264,34407.036051499264,11689.22428862366,38.76991542284995
30400.216782552776,30400.21678255281,12530.382869863988,41.359762790332184
32803.77867971957,32803.778679719595,12777.488477096433,42.32459919258996
32726.292175924646,32726.29217592462,11862.37229299668,39.021781728307886
30793.264268698153,30793.26426869815,12342.197531383265,42.697128734097845
31519.536736806745,31519.536736806745,12094.148146706539,39.756032051569704
33116.77375618773,33116.7737561877,11327.07580066895,40.534821011048535
32563.439122982312,32563.43912298229,11643.027538051463,39.74132798110247
30104.18031293058,30104.180312930566,11728.366204087099,39.34844150034721
32019.24923396687,32019.249233966886,11790.657196275279,40.69695632788091
32660.376668538465,32660.376668538433,11373.035971870797,40.01153026167344
31544.40793240567,31544.40793240571,12566.590388261042,39.534080680022754
