energy,controlled_energy,total_makespan,max_makespan
22176.930568245298,22176.930568245305,11164.251024447625,39.513561756878644
23117.481989651118,23117.481989651114,11263.70048719815,38.967957067845106
22396.00673508328,22396.006735083283,10689.175995162033,36.62411652072507
23198.250930308568,23198.250930308557,11063.223189708768,37.079878707855755
22037.35458820898,22037.354588209007,11683.141276580549,37.0008723662811
22521.41931429617,22521.41931429616,10890.554598291319,38.311245359630945
21780.119008098398,21780.119008098387,10887.212381870711,38.18353988084215
21517.47482485102,21517.474824851008,11130.734900620799,36.229180392393346
22901.39557340469,22901.395573404712,11344.359584404925,37.72443937339992
21434.47346932306,21434.473469323068,11495.821553539796,38.27101052081346
20734.899218494415,20734.8992184944,11592.846423830553,36.81224404830755
23687.076540099442,23687.076540099468,10836.98223466266,56.23873653624315
22572.049327906323,22572.049327906334,11933.755696937471,57.10136915538823
21384.27402482837,21384.27402482839,11232.357939889715,36.227187589772996
21948.1503997071,21948.150399707076,10988.763037846124,40.07209298737689
21496.894599521,21496.894599521023,11467.122312396326,36.85633270827657
24018.24852153053,24018.248521530535,10444.71884896951,64.31100715059414
22872.14751086181,22872.147510861803,10769.35826214645,35.829469875346064
23760.470126452125,23760.470126452135,10915.059147058373,37.98796952680138
22599.948427707746,22599.94842770775,11157.44729515403,37.840754734955155
21838.468031642547,21838.468031642562,10769.060539275035,39.57205983337996
22436.882021033944,22436.882021033918,10995.97571687535,38.23475552061598
21714.04679366091,21714.046793660902,10955.14857281137,36.28628568936205
21548.128251795075,21548.12825179508,11101.808129853387,37.11824072182907
23123.765174631575,23123.765174631615,11550.044277845522,38.460702188733364
22246.76918807003,22246.76918807005,11145.555654397504,37.10771669905151
23142.043351547312,23142.043351547327,11109.055514013604,36.86902790875172
20922.64119169178,20922.64119169179,11672.116994535614,37.45813551229111
22545.768925893623,22545.76892589363,12172.873125609605,35.93303332557946
21981.525416727814,21981.525416727796,11504.272083517923,37.795368813283844
22544.009014078412,22544.009014078405,11865.029650919407,34.539590256618894
21301.068437166523,21301.06843716655,11181.152464101084,35.77804064982564
22973.96293096243,22973.96293096244,11334.683477902832,37.3275540100513
21830.564371892524,21830.564371892546,11000.70137352304,38.796876876549106
21546.297666001272,21546.29766600129,11098.284074014024,35.84615695432154
21774.859813315292,21774.859813315285,11784.956601657837,40.337511495534926
21570.463991535707,21570.4639915357,11141.989058928692,39.05942952395728
22724.442260880507,22724.44226088052,11251.946004892057,37.27463985428329
21695.026029533496,21695.02602953349,11203.91129817582,39.664809285737846
23449.6234838831,23449.623483883115,11209.160001204653,40.03205155619614
21732.578501926237,21732.57850192622,11379.232217126539,36.12686691726543
21310.751644448115,21310.751644448097,12202.75394884766,36.66894817263898
22103.106144491136,22103.106144491125,10978.672170957318,71.68942520671936
22245.482409486136,22245.482409486158,11348.416370417977,37.25477839224402
22517.19083690612,22517.190836906128,11081.50122824781,34.96147418958236
23156.89978130299,23156.89978130297,11396.46147139457,36.680444341520925
22508.99316539194,22508.993165391938,11405.978930984149,38.59606605243897
22203.171625476287,22203.171625476298,11210.107491577712,40.0310032279599
20760.526480391905,20760.526480391894,10822.411057426469,40.463394307099534
22068.523838649413,22068.523838649387,10719.761937261126,38.704170003741126
