energy,controlled_energy,total_makespan,max_makespan
20966.99319890742,20966.9931989074,14815.233782745,35.72073609788323
25433.09793371926,25433.0979337193,14711.283653432076,35.47917097551965
24624.00209740512,24624.002097405104,15114.689097688659,36.190456266876396
24028.998401029614,24028.998401029636,14744.684877691257,38.235631219716566
24540.664402248778,24540.664402248807,14748.701783054126,35.5183565620772
21725.25915665413,21725.25915665414,14607.87291457104,43.0450213549542
21477.69500980187,21477.69500980187,14307.563228225403,35.72298020284481
23147.152773105372,23147.15277310534,14220.667217460827,36.50138400901584
21926.8858842748,21926.88588427481,14660.947519922092,36.55356916581755
21973.581877680648,21973.58187768063,15004.497010881894,35.15128618166449
22104.11151935506,22104.111519355058,14474.156206943604,37.50123622619576
25121.618043536815,25121.61804353682,14456.736219821794,36.51085171506813
23258.694799269422,23258.69479926942,14909.127193792512,37.401221541763675
22969.19717445487,22969.19717445488,14421.330425605638,60.55632610642036
23180.140705167032,23180.140705167043,15090.9100669688,39.10053372174504
22503.43399072525,22503.433990725258,14690.586526432491,55.747940792308924
24695.75820158787,24695.75820158788,14531.237398202602,37.65784935551807
23565.331118171416,23565.33111817145,14371.061315152521,37.339168070452615
25403.774475429418,25403.77447542941,15001.295205901752,38.5458603911067
24374.706994523985,24374.70699452399,15018.027310836078,38.394931140036064
23390.436824562945,23390.436824562912,14898.962673411439,36.80788955156308
22331.35547720533,22331.355477205318,15128.60812972279,38.52568967730002
24882.79317804643,24882.793178046435,14980.515548777781,37.07288551088757
23177.446443914167,23177.4464439142,14528.915358004853,36.530600912354785
24675.505292118825,24675.50529211884,14789.270525155493,37.01644772253766
22840.8370809279,22840.83708092793,14448.745296139045,39.147240466018786
26907.393093302733,26907.393093302697,15155.48878120096,36.42972746015431
22108.25109511583,22108.25109511581,14668.682146347492,40.137127582722215
20635.87927516068,20635.87927516071,14749.409276950882,38.516808418563656
23908.53888876334,23908.538888763327,14804.487897622948,37.867283953412624
21561.43114451814,21561.43114451812,14550.154274940207,37.20002072694305
23624.48154665166,23624.481546651677,14900.072105267911,36.54189669728595
26365.16540622818,26365.165406228196,14681.743850345396,39.60316745423364
21743.19708930175,21743.197089301768,14693.851338444414,38.27166743088506
23389.812541006082,23389.812541006035,14756.339193965057,39.862374786351964
22346.213087928347,22346.213087928347,14600.111079335333,36.797843982698254
22091.578009421293,22091.578009421282,14984.093722980888,35.80687526992608
23144.887726032157,23144.887726032186,14911.288635536665,36.98468652098168
25044.73403443769,25044.734034437704,15545.12700690385,37.42187699255018
22361.381495756334,22361.381495756326,14659.890372010652,34.58226752974676
22944.45917955847,22944.459179558467,14798.678983747292,40.7940072668562
23156.874503281822,23156.874503281866,14530.788027984,35.389636696575735
23251.483049813058,23251.483049813058,14636.58403874392,36.00298611640319
22826.64591909686,22826.645919096856,14410.572290653945,36.24969398314042
23156.427583210778,23156.427583210785,14580.726553605115,35.31952374075408
23596.27253037659,23596.272530376584,14715.50751453673,66.48717403600358
24030.73774936902,24030.737749369007,14601.613110400283,35.86863778872015
24016.750581852226,24016.750581852233,15407.339379649871,35.744267306627975
21909.996551221255,21909.996551221248,14727.15996700646,37.04388252701119
23134.44752714171,23134.44752714171,14965.22650141799,35.5416541990966
