energy,total_makespan,max_makespan
8140.0778186987645,132266.28639455166,535.273505966932
8509.863394551023,131086.03556653796,812.8191671800105
8210.29934003838,200051.1369034321,1033.8228479405357
8321.066806248302,88826.30226401152,474.74732817728045
8357.839127763307,141567.2577830205,649.8849857657904
8281.023697057208,95794.48681419517,550.4497760698055
8257.818743712285,171755.12710084463,865.9444721321972
8505.364226454134,172590.1166891001,1050.711581815181
8266.18701176697,127083.59393001029,751.562900746771
8317.915062562597,120137.17655724222,572.9843226935943
8439.11151622809,107124.22551082974,549.8431446741413
8468.153120351435,113214.26756678676,547.6606667273239
8342.710091604533,200531.97437637593,895.8076924352217
8334.494376983837,188191.55044209879,941.7341115716356
8350.770119329025,113879.10137979708,777.3315998480789
8220.870284296738,116723.73484291445,421.99060365187324
8380.25079404702,228910.87493371792,1138.9257084986089
8448.214166228276,166536.59387324945,662.8494053930912
8519.691319005706,140597.9041695615,993.286482698516
8355.114402789317,230337.9710264038,1058.8091151427338
8398.314657917292,118929.89646835174,575.0923751662009
8494.535318333123,90491.69516196546,607.4210993145767
8392.078798654207,180058.44246058626,977.6830797902758
8218.931399238383,234919.20698167663,1025.9190210836136
8134.241329997271,109780.21452076887,548.8738963085526
8463.348328388456,128222.53158524552,550.355414392414
8372.88456923827,191317.01798038077,964.6534141492243
8299.798188990973,125150.4767657536,644.0282639927634
8330.700169280648,114351.96658610545,447.38765298686394
8075.957605176037,156739.14855182788,743.920384542289
8271.740494875074,405395.66145935387,1506.191194106599
8305.68261987713,203578.72813146721,1132.0253956814772
8139.467751243804,158679.20675938268,756.4603154253605
8142.475705164088,121478.3277619835,507.2518843577634
8311.695755154627,125562.24653911755,779.5940680064041
8475.716465343034,313155.31185502314,1428.7317633363932
8180.732480967838,137866.81335679968,622.8160789723669
8112.119174583374,87910.69045697324,471.86238449217535
8388.488373169572,136185.2189684318,619.5421086523834
8092.336448076784,78542.85998016536,411.02688463405684
8332.493331387608,140748.94315687532,611.287967601517
8494.553865758106,141922.60504733626,694.688726765401
8390.226773813709,78896.14944609957,507.7327227662636
8080.722069549311,250016.82816836357,1233.955451335825
8488.11211779773,279888.38575900835,1176.8257507315438
8230.133110592904,105015.19769673429,485.0721078707263
8131.348420270919,246900.39221370508,1129.9223138309167
8095.11627231342,252264.13978919265,1208.7366626318803
8467.143380161155,233033.53454726978,1052.3621444657906
8288.132381655903,120284.4330047712,516.0563199828565
