energy,total_makespan,max_makespan
8190.014711161834,213324.4099385744,1092.5728304161637
8316.089548747752,273737.9023500934,1354.6640448821458
8433.81011359939,205012.15536235707,1085.2255973507538
8119.79403037362,200427.31780568798,1115.285743147694
8273.52277991113,184840.23483087352,1067.819920937789
8318.269325599622,274161.1410817675,1340.491908000753
8054.431454757257,298807.37961202464,1363.5446481173462
8452.831664729063,171368.3121134695,979.6935119891216
8254.847172788677,260007.92696277186,1282.7373450181
8366.88169856764,206553.5315478295,1110.0371990969875
8182.6054084332845,296194.460378762,1329.7993417669347
8349.926365764668,185657.54501205467,1051.1946274402692
8224.290491956373,144985.56472061647,872.2507499745057
8360.508256036663,198293.90758975153,1125.4777147718032
8276.942938629256,185398.04130367527,982.9720556761122
8319.47831958477,134577.55165564278,860.1157347420956
8210.82405397814,291502.41786748095,1409.1322739957961
8258.656103947422,309406.23695861344,1453.787855790562
8007.889883816867,259695.29104028794,1299.5444991036381
8195.816661521856,217760.90204859246,1149.7689619532257
8437.6412573153,156245.38504730698,952.2589582657158
8295.263075841198,249057.42278231887,1246.1806650796207
8369.683664632765,220112.6683487755,1079.3861005513766
8563.671098529785,233380.5193929874,1191.480838416674
8275.06178041292,285419.2584613452,1383.5133662189085
8312.658766890048,177525.28831491925,1020.612139710169
8242.004973512208,232835.32839789984,1185.99808825668
8328.59718505647,172938.1612359183,1003.3901688565195
8528.019707059653,161945.9840907894,924.0593146591305
8210.110319640602,230115.93201443914,1199.7917634265334
8349.230701129958,168134.35689827093,859.1150355797952
8161.707236905456,287307.4964954957,1323.032886127292
8196.429995811432,238761.20097070176,1243.683228269725
8568.574160960823,249523.39274919865,1282.0023259218156
8375.883426374896,218298.8942958942,1143.8277824608401
8192.757172265834,178461.86137129107,950.3228798299758
8436.307617542723,149355.97066471618,868.6892869502926
8384.966155309714,169541.12430248412,924.3673393668291
8230.395932713494,222374.62651112454,1159.7645852289272
8520.878750394935,189330.20789727353,992.3541626465376
8239.616706809764,292570.2314329971,1375.3818747277223
8430.749960320141,195706.56011790858,1078.2974845724675
8403.193932412385,229100.71038741386,1191.1849319071202
8331.056303076095,293127.68368158344,1428.7410124489627
8207.671275045948,272801.3006410855,1300.9737068978193
8177.945304683476,274117.72354079894,1315.2486352334693
8096.513657023524,277892.59419358626,1316.3795725374653
8098.912537836128,218108.69176230056,1079.9903141102855
8214.876125848217,241068.49642168425,1233.2364191971144
8185.822704470068,156303.24892497665,913.2360470746999
