energy,controlled_energy,total_makespan,max_makespan
10561.69439572079,10561.694395720788,4500.952883895018,30.298658331934774
10301.022306507595,10301.022306507595,4248.124713527213,20.443332155089827
10123.647042069357,10123.647042069355,4499.47490448312,28.957965914611037
10245.652527969181,10245.652527969176,3973.515850264751,25.50107626840319
10172.493654025675,10172.493654025671,4380.118296610097,27.11090002654899
10343.161713444815,10343.161713444815,3975.329767792224,18.88223896761496
10608.449745057005,10608.449745056985,4504.317323403568,27.644838273027467
10240.676025471941,10240.676025471968,4941.316439007327,30.484631251349455
10373.777758856077,10373.777758856068,4343.606470522955,24.007542887269846
10346.470997148514,10346.47099714851,4746.902724741216,26.282052557143288
10330.13219126065,10330.132191260649,4277.989831105701,28.551515361946628
10206.664494067398,10206.664494067398,4114.730699562673,26.093727489212668
10132.113269729685,10132.113269729689,4492.578051334939,26.70908823147846
10198.744987037227,10198.744987037242,4465.793621920219,28.463253580791132
10367.635794554646,10367.635794554648,5004.0640566241145,28.755254661340672
10054.947675632853,10054.94767563284,4109.628324059496,27.398087411209985
10252.631788362372,10252.631788362381,4682.04737687188,33.9032000940212
10501.334129597253,10501.334129597255,4089.392810034697,18.35491241952613
10225.776577241253,10225.776577241246,4404.254219281221,33.60886834278875
10394.442423606693,10394.442423606686,3934.6232254087067,21.2286869765218
10651.15278492562,10651.152784925618,4133.6339689741435,23.786835890041978
10130.23456852365,10130.234568523654,4426.734162198614,33.948090772888904
10320.26675253814,10320.266752538133,4281.966509329567,22.244652494963873
10635.681412070659,10635.681412070659,4945.841925655697,25.781542592853782
10277.778253515371,10277.77825351537,3892.5961988943577,27.61297197672684
10374.517330267428,10374.51733026744,4164.2876846452855,22.878539166278202
10389.619201515625,10389.61920151564,4197.103335063964,35.81806461299211
10644.400636122382,10644.40063612237,4291.640644189404,30.660396944054128
10303.774225483443,10303.774225483448,3979.3122866905574,22.986565385093016
10363.0141047065,10363.0141047065,4396.150334507289,27.65767296968312
10440.486504107066,10440.486504107055,4385.73866388048,22.898016395269835
10345.146213748114,10345.146213748116,4541.083414771122,25.204402483116507
10212.784156745434,10212.78415674542,5114.53481915624,30.33129232691192
10430.240414232994,10430.24041423298,4361.399295466225,31.472791253829428
10296.020100392925,10296.020100392945,4829.629562099287,26.949979693394653
10228.866036247546,10228.866036247544,3990.1336360829305,24.119922726389476
10245.24062184954,10245.240621849547,3958.194903533607,25.42018684571871
10614.519108653642,10614.519108653629,4433.981681544932,31.93826854610984
10540.525056210772,10540.525056210765,4884.432469137277,25.915863542134893
10401.287503169637,10401.28750316965,4203.270101899845,26.64636377867798
10306.989700683034,10306.989700683025,4793.825034436242,34.23232556423034
10279.493730700617,10279.493730700622,4229.238869209021,30.14660380054582
10360.536375641781,10360.536375641788,5773.4192021552635,36.87028867291302
9998.23713524009,9998.237135240079,4861.704029428032,23.21656540944621
10263.429654821093,10263.429654821091,3983.7414919258845,24.823885334307164
10107.504680320277,10107.504680320284,4826.613337025492,26.7376699498069
10266.022706831129,10266.022706831121,4179.338981999538,25.636733359103317
10367.080841182698,10367.080841182695,4422.871244186006,27.904328725544474
10298.45495943066,10298.454959430659,4174.489618593125,31.98385461264798
10215.762504614471,10215.762504614468,4072.0116370683877,26.683207775783742
