episode,reward
118,-234.7389408536117
119,-264.90546892806736
120,-234.2383133523282
121,-212.14265921218058
122,-229.3052296181918
123,-222.66001015478957
124,-223.95184800131875
125,-219.69311355882712
126,-218.51262926631483
127,-215.2686338453028
128,-217.37989863793143
129,-218.05922633040956
130,-220.17166660244507
131,-219.35222274850088
132,-229.25034099693454
133,-222.30489327755708
134,-223.82965670150037
135,-212.78983276687194
136,-225.7423090201782
137,-221.89318799400763
138,-214.75509526753265
139,-225.53076328613386
140,-225.85273616425064
141,-215.09960317506102
142,-223.43393439344055
143,-221.51487241805816
144,-205.3174225460804
145,-220.43166757880869
146,-210.23468453791392
147,-215.70141163133016
148,-221.07535167198034
149,-217.39790450233951
150,-217.2175639654685
151,-219.21847330492463
152,-218.48470288609144
153,-216.64398419846233
154,-214.88554512496663
155,-224.5648761981786
156,-218.72332685896194
157,-219.4969921293775
158,-225.21748009878797
159,-209.6686648982955
160,-218.07517291836197
161,-210.06181950370285
162,-221.08020411011896
163,-213.81082870197116
164,-213.722525302327
165,-225.67865029026436
166,-223.4814470573863
167,-215.77102797622058
168,-208.75445906432537
169,-211.5241976547571
170,-222.0440598231828
171,-214.99421849801038
172,-215.60045001482337
173,-210.86168222571257
174,-217.02319702539558
175,-230.6551171935529
176,-206.4965846627674
177,-211.57135810582392
178,-214.97633813450867
179,-219.89685191320444
180,-212.0586017233974
181,-220.78844313670834
182,-220.77829178445666
183,-223.315821341405
184,-212.197008236696
185,-211.83002769561247
186,-219.27710325856447
187,-212.31474640325962
188,-221.66542815518807
189,-226.58875804977347
190,-216.69265303684708
191,-215.88151521876642
192,-215.015411718396
193,-215.3142389614533
194,-225.67594965522323
195,-216.20386086035333
196,-218.4224528615207
197,-206.82293665209858
198,-219.32057474542808
199,-212.84526568247676
200,-219.70211314619007
201,-223.9900048960723
202,-217.64406439316576
203,-217.77505154055947
204,-204.48160414720263
205,-222.31622693823556
206,-222.24860958281334
207,-221.71038371989184
208,-220.34326424399933
209,-218.29072938402075
210,-217.12217525049607
211,-216.78419386205823
212,-217.68764068322153
213,-217.11363939576765
214,-221.76649830814267
215,-213.29050916116984
216,-217.30703927211695
217,-213.64971901685067
218,-219.03490823997947
219,-224.6056856609341
220,-211.6698154437953
221,-212.4296904907257
222,-207.34044711828662
223,-218.69224348737413
224,-212.8855467924192
225,-215.35914466344204
226,-219.31838482010247
227,-226.1212679454528
228,-229.6766316598612
229,-212.10558509027945
230,-223.571046976425
231,-230.0789902215067
232,-227.07286892731457
233,-219.39771312949725
234,-226.25994770765504
235,-226.62709128156246
236,-226.6941060752212
237,-215.45659716757552
238,-222.95430584098145
239,-214.78860551274994
240,-210.91732569439554
241,-221.25681117431967
242,-218.5689059580499
243,-216.78900045216102
244,-215.61215425150675
245,-229.42844806597762
246,-215.92342587572696
247,-221.88100859001457
248,-206.79092875710512
249,-216.1447418601808
250,-226.2135304062909
251,-229.00945040210053
252,-213.2362380959248
253,-220.22543368328527
254,-219.68306750781485
255,-220.3162829527498
256,-237.449003494416
257,-227.4022896102899
258,-233.016768939183
259,-224.97918095493011
260,-250.91581532076438
261,-244.74687403106572
262,-236.4144790297428
263,-248.63796788873174
264,-248.3121348412338
265,-249.02184807982417
266,-241.8559068858204
267,-233.07806417589583
268,-241.57351289716448
269,-250.04576343924674
270,-249.79771271682839
271,-239.0440596522919
272,-242.19824723796233
273,-250.11277069132723
274,-246.75814389818223
275,-239.11247382855552
276,-245.53234449198396
277,-231.7571870379734
278,-238.50801350836198
279,-240.30167603829642
280,-243.21228173479633
281,-231.69385866850638
282,-247.6676582612465
283,-247.81157392768185
284,-246.6795988031823
285,-238.79990208239087
286,-246.41294308296676
287,-246.84294434605457
288,-248.33156571444962
289,-235.1571935831617
290,-241.97796000986423
291,-243.8381475615365
292,-245.03437712420308
293,-242.2685537162161
294,-247.95795515321166
295,-240.8446123590796
296,-247.70557037361385
297,-243.20597701177837
298,-244.42239399845846
299,-253.75465233620446
300,-243.7779140795468
